pesquisa_id,ano,tipo_id,tipo,data_pesquisa,instituto_id,instituto,cenario_id,cenario_descricao,candidatos_id,candidato,percentual,data_referencia,margem_mais,margem_menos
8112,2018,2,Estimulada,2018-08-21,39,Datafolha,20522,cenário 1 estimulada - 1º turno,1723,Alvaro Dias,3.0,20-21.ago.2018,2.0,2.0
8249,2018,2,Estimulada,2018-09-10,39,Datafolha,20875,estimulado - 1º turno,1723,Alvaro Dias,3.0,10.set.2018,2.0,2.0
8272,2018,2,Estimulada,2018-09-14,39,Datafolha,20941,cenário estimulado - 1º turno,1723,Alvaro Dias,3.0,13-14.set.2018,2.0,2.0
8299,2018,2,Estimulada,2018-09-19,39,Datafolha,21051,1º turno - estimulado,1723,Alvaro Dias,3.0,18-19.set.2018,2.0,2.0
8392,2018,2,Estimulada,2018-09-28,39,Datafolha,21274,1º turno - estimulado,1723,Alvaro Dias,2.0,26-28.set.2018,2.0,2.0
8433,2018,2,Estimulada,2018-10-02,39,Datafolha,21411,cenário estimulado - 1º turno,1723,Alvaro Dias,2.0,2-2.out.2018,2.0,2.0
8449,2018,2,Estimulada,2018-10-04,39,Datafolha,21450,1º turno - estimulado,1723,Alvaro Dias,2.0,3-4.out.2018,2.0,2.0
8112,2018,2,Estimulada,2018-08-21,39,Datafolha,20522,cenário 1 estimulada - 1º turno,4958,Cabo Daciolo,1.0,20-21.ago.2018,2.0,2.0
8249,2018,2,Estimulada,2018-09-10,39,Datafolha,20875,estimulado - 1º turno,4958,Cabo Daciolo,1.0,10.set.2018,2.0,2.0
8272,2018,2,Estimulada,2018-09-14,39,Datafolha,20941,cenário estimulado - 1º turno,4958,Cabo Daciolo,1.0,13-14.set.2018,2.0,2.0
8299,2018,2,Estimulada,2018-09-19,39,Datafolha,21051,1º turno - estimulado,4958,Cabo Daciolo,0.0,18-19.set.2018,2.0,2.0
8392,2018,2,Estimulada,2018-09-28,39,Datafolha,21274,1º turno - estimulado,4958,Cabo Daciolo,1.0,26-28.set.2018,2.0,2.0
8433,2018,2,Estimulada,2018-10-02,39,Datafolha,21411,cenário estimulado - 1º turno,4958,Cabo Daciolo,2.0,2-2.out.2018,2.0,2.0
8449,2018,2,Estimulada,2018-10-04,39,Datafolha,21450,1º turno - estimulado,4958,Cabo Daciolo,1.0,3-4.out.2018,2.0,2.0
8112,2018,2,Estimulada,2018-08-21,39,Datafolha,20522,cenário 1 estimulada - 1º turno,289,Ciro,5.0,20-21.ago.2018,2.0,2.0
8249,2018,2,Estimulada,2018-09-10,39,Datafolha,20875,estimulado - 1º turno,289,Ciro,13.0,10.set.2018,2.0,2.0
8272,2018,2,Estimulada,2018-09-14,39,Datafolha,20941,cenário estimulado - 1º turno,289,Ciro,13.0,13-14.set.2018,2.0,2.0
8299,2018,2,Estimulada,2018-09-19,39,Datafolha,21051,1º turno - estimulado,289,Ciro,13.0,18-19.set.2018,2.0,2.0
8392,2018,2,Estimulada,2018-09-28,39,Datafolha,21274,1º turno - estimulado,289,Ciro,11.0,26-28.set.2018,2.0,2.0
8433,2018,2,Estimulada,2018-10-02,39,Datafolha,21411,cenário estimulado - 1º turno,289,Ciro,11.0,2-2.out.2018,2.0,2.0
8449,2018,2,Estimulada,2018-10-04,39,Datafolha,21450,1º turno - estimulado,289,Ciro,11.0,3-4.out.2018,2.0,2.0
8112,2018,2,Estimulada,2018-08-21,39,Datafolha,20523,cenário 2 estimulada - 1º turno,508,Fernando Haddad,4.0,20-21.ago.2018,2.0,2.0
8249,2018,2,Estimulada,2018-09-10,39,Datafolha,20875,estimulado - 1º turno,508,Fernando Haddad,9.0,10.set.2018,2.0,2.0
8272,2018,2,Estimulada,2018-09-14,39,Datafolha,20941,cenário estimulado - 1º turno,508,Fernando Haddad,13.0,13-14.set.2018,2.0,2.0
8299,2018,2,Estimulada,2018-09-19,39,Datafolha,21051,1º turno - estimulado,508,Fernando Haddad,16.0,18-19.set.2018,2.0,2.0
