text,datetime,text_clean,sentiment
"Boulos disse o essencial, que ninguem está dizendo: a democracia está em perigo. Isso é sério pra caralho.",2018-10-04 22:42:25+00:00,boulos o essencial ninguem o democracia perigar sério pra caralho,0.0
"Debate nada, vou é assistir Netflix",2018-10-04 23:17:46+00:00,debater nado assistir netflix,-1.0
"Boulos: A
Eu: CONTE COMIGO PRA TUDO (nas próximas eleições)",2018-10-04 23:19:00+00:00,boulos o contar comigo pra o eleição,1.0
"O microfone do Meirelles caiu agora.

O ponto, já faz uns 30 anos.",2018-10-04 22:27:35+00:00,o microfone meirelles cair o pontar 30,-1.0
"PROPOSTAS DE BOLSONARO
- Fim do 13º e férias
- Redução da licença maternidade
- IR igual pra ricos e POBRES
- Volta da CPMF
- Fim do Bolsa Família e projetos sociais
- Entrega da Petrobrás,BB e Caixa para americanos
- Mais armas em circulação
- Teto de gastos com saúde e educação",2018-10-04 22:31:34+00:00,proposto bolsonaro 13º e féria redução licença maternidade igual pra rico e pobre voltar cpmf bolsar família e projetos social entregar petrobrás b e caixa parir americano armar circulação teto gasto saudar e educação,-1.0
gente rica querendo queimar dinheiro de alguma forma https://t.co/C0nYZODZnM,2018-10-04 22:30:36+00:00,gente rico querer queimar dinheiro algum formar,0.0
"O FILHO DA PUTA do Cangaceiro fala que Bolsonaro foge do debate. Quando estava aí, não fazia pergunta pra ele, ou falava fininho de SPC. 

SÓ É MACHO LONGE DO RISCO DE TOMAR NA CARA. BEEEEEEESHA.",2018-10-05 00:00:48+00:00,o filhar puta cangaceiro falir bolsonaro fugir debater perguntar pra falar fino spc só macho riscar tomar o caro beeeeeeesha,-1.0
"POHA, BOULOS ! 
EU TE AMOOOOOOOOOOOOOO !!! https://t.co/tn7f0YirCG",2018-10-05 00:00:06+00:00,poha boulos amoooooooooooooo,1.0
"Haddad: “enquanto eles seguem com campanha baseada em mentiras, nós seguiremos com agenda pelo Brasil” https://t.co/mPJMVW4DMM",2018-10-04 22:06:44+00:00,haddad “ seguir campanha basear mentira nó seguir agendar pelar brasil,0.0
"Sabe o que o Haddad não tem que a Dilma tinha? Um convergência para vencer o Aécio no segundo turno. A base que garantiu a vitória para Dilma no segundo tuno rachou  e o antipetismo cresceu, só isso já tira qualquer possibilidade de vitória do PT. #TsunamiCIRO",2018-10-04 21:53:24+00:00,o o haddad o dilma convergência parir vencer o aécio o segundar turno o base garantir o vitória parir dilma o segundar tunar rachar e o antipetismo crescer só tirar possibilidade vitória pt tsunamiciro,0.0
"@GuilhermeBoulos faz muito, muito bem ao debate. Sabe o que elogiar e o que criticar duramente. Elogiou o PT por te… https://t.co/9DFtjHQKKq",2018-10-04 23:56:31+00:00,@guilhermeboulos o o debater o elogiar e o criticar duramente elogiar o pt …,1.0
já é ruim ele ter que afirmar isso. É O MÍNIMO QUE A GENTE ESPERAVA DE UM CANDIDATO A PRESIDÊNCIA NA PORRA DE UMA D… https://t.co/Ze8CldsmpD,2018-10-04 22:38:58+00:00,ruim afirmar o mínimo o gente esperar candidatar o presidência o porra umar d …,-1.0
Debate sem cabo daciolo não é debate,2018-10-04 23:59:36+00:00,debater cabo daciolo debater,-1.0
"A Marina atacou o Bolsonaro com uma mentira deslavada, é com esse tipo de ética que ela quer govenar o país? Ela que faz pode de seriedade, bom senso? #DebateNaGlobo",2018-10-05 00:13:39+00:00,o marino atacar o bolsonaro umar mentir deslavar ético querer govenar o país seriedade senso debatenaglobo,-1.0
